venue,team,win_odds,point_spread,season_round,full_date
MCG,Carlton,3.05,+16.5,Round 1,2017-03-23
MCG,Richmond,1.41,-16.5,Round 1,2017-03-23
MCG,Collingwood,3.05,+15.5,Round 1,2017-03-24
MCG,Western Bulldogs,1.40,-15.5,Round 1,2017-03-24
SCG,Sydney,1.29,-21.5,Round 1,2017-03-25
SCG,Port Adelaide,3.66,+21.5,Round 1,2017-03-25
Etihad Stadium,St Kilda,1.67,-6.5,Round 1,2017-03-25
Etihad Stadium,Melbourne,2.25,+6.5,Round 1,2017-03-25
Metricon Stadium,Gold Coast,1.27,-26.5,Round 1,2017-03-25
Metricon Stadium,Brisbane,3.85,+26.5,Round 1,2017-03-25
MCG,Essendon,3.05,+20.5,Round 1,2017-03-25
MCG,Hawthorn,1.40,-20.5,Round 1,2017-03-25
Etihad Stadium,North Melbourne,3.40,+21.5,Round 1,2017-03-26
Etihad Stadium,West Coast,1.33,-21.5,Round 1,2017-03-26
Adelaide Oval,Adelaide,2.00,+2.5,Round 1,2017-03-26
Adelaide Oval,GWS,1.81,-2.5,Round 1,2017-03-26
Domain Stadium,Fremantle,2.25,+5.5,Round 1,2017-03-26
Domain Stadium,Geelong,1.67,-5.5,Round 1,2017-03-26
MCG,Richmond,2.15,+6.5,Round 2,2017-03-30
MCG,Collingwood,1.73,-6.5,Round 2,2017-03-30
Etihad Stadium,Western Bulldogs,1.40,-16.5,Round 2,2017-03-31
Etihad Stadium,Sydney,2.98,+16.5,Round 2,2017-03-31
MCG,Hawthorn,2.00,+2.5,Round 2,2017-04-01
MCG,Adelaide,1.84,-2.5,Round 2,2017-04-01
Spotless Stadium,GWS,1.13,-39.5,Round 2,2017-04-01
Spotless Stadium,Gold Coast,6.30,+39.5,Round 2,2017-04-01
Domain Stadium,West Coast,1.17,-39.5,Round 2,2017-04-01
Domain Stadium,St Kilda,5.30,+39.5,Round 2,2017-04-01
Gabba,Brisbane,2.90,+15.5,Round 2,2017-04-01
Gabba,Essendon,1.43,-15.5,Round 2,2017-04-01
Etihad Stadium,Geelong,1.16,-33.5,Round 2,2017-04-02
Etihad Stadium,North Melbourne,5.30,+33.5,Round 2,2017-04-02
MCG,Melbourne,1.25,-25.5,Round 2,2017-04-02
MCG,Carlton,4.00,+25.5,Round 2,2017-04-02
Adelaide Oval,Port Adelaide,1.23,-27.5,Round 2,2017-04-02
Adelaide Oval,Fremantle,4.25,+27.5,Round 2,2017-04-02
SCG,Sydney,1.44,-13.5,Round 3,2017-04-07
SCG,Collingwood,2.88,+13.5,Round 3,2017-04-07
Blundstone Arena,North Melbourne,4.30,+29.5,Round 3,2017-04-08
Blundstone Arena,GWS,1.23,-29.5,Round 3,2017-04-08
MCG,Richmond,2.55,+12.5,Round 3,2017-04-08
MCG,West Coast,1.54,-12.5,Round 3,2017-04-08
Etihad Stadium,Geelong,1.40,-16.5,Round 3,2017-04-08
Etihad Stadium,Melbourne,3.00,+16.5,Round 3,2017-04-08
Domain Stadium,Fremantle,4.75,+32.5,Round 3,2017-04-08
Domain Stadium,Western Bulldogs,1.20,-32.5,Round 3,2017-04-08
Adelaide Oval,Port Adelaide,2.30,+6.5,Round 3,2017-04-08
Adelaide Oval,Adelaide,1.65,-6.5,Round 3,2017-04-08
Etihad Stadium,St Kilda,1.15,-36.5,Round 3,2017-04-09
Etihad Stadium,Brisbane,5.75,+36.5,Round 3,2017-04-09
MCG,Carlton,3.20,+18.5,Round 3,2017-04-09
MCG,Essendon,1.37,-18.5,Round 3,2017-04-09
Metricon Stadium,Gold Coast,3.04,+17.5,Round 3,2017-04-09
Metricon Stadium,Hawthorn,1.40,-17.5,Round 3,2017-04-09
Domain Stadium,West Coast,1.35,-21.5,Round 4,2017-04-13
Domain Stadium,Sydney,3.25,+21.5,Round 4,2017-04-13
Etihad Stadium,North Melbourne,3.75,+23.5,Round 4,2017-04-14
Etihad Stadium,Western Bulldogs,1.29,-23.5,Round 4,2017-04-14
MCG,Melbourne,1.39,-21.5,Round 4,2017-04-15
MCG,Fremantle,3.10,+21.5,Round 4,2017-04-15
Manuka Oval,GWS,1.39,-18.5,Round 4,2017-04-15
Manuka Oval,Port Adelaide,3.10,+18.5,Round 4,2017-04-15
Adelaide Oval,Adelaide,1.16,-37.5,Round 4,2017-04-15
Adelaide Oval,Essendon,5.50,+37.5,Round 4,2017-04-15
Etihad Stadium,Carlton,2.10,+4.5,Round 4,2017-04-15
Etihad Stadium,Gold Coast,1.74,-4.5,Round 4,2017-04-15
Etihad Stadium,Collingwood,1.60,-10.5,Round 4,2017-04-16
Etihad Stadium,St Kilda,2.40,+10.5,Round 4,2017-04-16
Gabba,Brisbane,3.30,+19.5,Round 4,2017-04-16
Gabba,Richmond,1.35,-19.5,Round 4,2017-04-16
MCG,Hawthorn,2.95,+15.5,Round 4,2017-04-17
MCG,Geelong,1.42,-15.5,Round 4,2017-04-17
Adelaide Oval,Port Adelaide,1.07,-49.5,Round 5,2017-04-21
Adelaide Oval,Carlton,9.00,+49.5,Round 5,2017-04-21
Etihad Stadium,Western Bulldogs,1.05,-57.5,Round 5,2017-04-22
Etihad Stadium,Brisbane,11.00,+57.5,Round 5,2017-04-22
Metricon Stadium,Gold Coast,4.30,+28.5,Round 5,2017-04-22
Metricon Stadium,Adelaide,1.23,-28.5,Round 5,2017-04-22
Domain Stadium,Fremantle,1.60,-9.5,Round 5,2017-04-22
Domain Stadium,North Melbourne,2.40,+9.5,Round 5,2017-04-22
SCG,Sydney,2.65,+13.5,Round 5,2017-04-22
SCG,GWS,1.50,-13.5,Round 5,2017-04-22
Etihad Stadium,St Kilda,2.60,+12.5,Round 5,2017-04-23
Etihad Stadium,Geelong,1.52,-12.5,Round 5,2017-04-23
MCG,Hawthorn,2.80,+14.5,Round 5,2017-04-23
MCG,West Coast,1.46,-14.5,Round 5,2017-04-23
MCG,Richmond,1.67,-5.5,Round 5,2017-04-24
MCG,Melbourne,2.25,+5.5,Round 5,2017-04-24
MCG,Essendon,2.45,+11.5,Round 5,2017-04-25
MCG,Collingwood,1.57,-11.5,Round 5,2017-04-25
Manuka Oval,GWS,1.31,-24.5,Round 6,2017-04-28
Manuka Oval,Western Bulldogs,3.60,+24.5,Round 6,2017-04-28
UTAS Stadium,Hawthorn,1.85,-1.5,Round 6,2017-04-29
UTAS Stadium,St Kilda,2.00,+1.5,Round 6,2017-04-29
MCG,Carlton,3.85,+21.5,Round 6,2017-04-29
MCG,Sydney,1.28,-21.5,Round 6,2017-04-29
Gabba,Brisbane,5.50,+40.5,Round 6,2017-04-29
Gabba,Port Adelaide,1.16,-40.5,Round 6,2017-04-29
Domain Stadium,West Coast,1.35,-27.5,Round 6,2017-04-29
Domain Stadium,Fremantle,3.30,+27.5,Round 6,2017-04-29
Etihad Stadium,North Melbourne,1.47,-14.5,Round 6,2017-04-29
Etihad Stadium,Gold Coast,2.72,+14.5,Round 6,2017-04-29
Etihad Stadium,Essendon,1.95,+0.5,Round 6,2017-04-30
Etihad Stadium,Melbourne,1.89,-0.5,Round 6,2017-04-30
MCG,Geelong,1.26,-26.5,Round 6,2017-04-30
MCG,Collingwood,4.00,+26.5,Round 6,2017-04-30
Adelaide Oval,Adelaide,1.17,-38.5,Round 6,2017-04-30
Adelaide Oval,Richmond,5.30,+38.5,Round 6,2017-04-30
Etihad Stadium,St Kilda,2.90,+14.5,Round 7,2017-05-05
Etihad Stadium,GWS,1.42,-14.5,Round 7,2017-05-05
Blundstone Arena,North Melbourne,6.05,+37.5,Round 7,2017-05-06
Blundstone Arena,Adelaide,1.13,-37.5,Round 7,2017-05-06
MCG,Collingwood,1.35,-19.5,Round 7,2017-05-06
MCG,Carlton,3.20,+19.5,Round 7,2017-05-06
Adelaide Oval,Port Adelaide,1.34,-19.5,Round 7,2017-05-06
Adelaide Oval,West Coast,3.30,+19.5,Round 7,2017-05-06
Etihad Stadium,Western Bulldogs,1.32,-18.5,Round 7,2017-05-06
Etihad Stadium,Richmond,3.40,+18.5,Round 7,2017-05-06
Metricon Stadium,Gold Coast,3.65,+20.5,Round 7,2017-05-06
Metricon Stadium,Geelong,1.29,-20.5,Round 7,2017-05-06
SCG,Sydney,1.14,-40.5,Round 7,2017-05-07
SCG,Brisbane,5.75,+40.5,Round 7,2017-05-07
Domain Stadium,Fremantle,1.50,-12.5,Round 7,2017-05-07
Domain Stadium,Essendon,2.62,+12.5,Round 7,2017-05-07
MCG,Melbourne,1.46,-14.5,Round 7,2017-05-07
MCG,Hawthorn,2.75,+14.5,Round 7,2017-05-07
Domain Stadium,West Coast,1.47,-17.5,Round 8,2017-05-12
Domain Stadium,Western Bulldogs,2.75,+17.5,Round 8,2017-05-12
UTAS Stadium,Hawthorn,1.13,-47.5,Round 8,2017-05-13
UTAS Stadium,Brisbane,6.40,+47.5,Round 8,2017-05-13
Etihad Stadium,St Kilda,1.32,-23.5,Round 8,2017-05-13
Etihad Stadium,Carlton,3.50,+23.5,Round 8,2017-05-13
Spotless Stadium,GWS,1.23,-32.5,Round 8,2017-05-13
Spotless Stadium,Collingwood,4.40,+32.5,Round 8,2017-05-13
Adelaide Oval,Adelaide,1.14,-40.5,Round 8,2017-05-13
Adelaide Oval,Melbourne,6.05,+40.5,Round 8,2017-05-13
MCG,Essendon,3.40,+27.5,Round 8,2017-05-13
MCG,Geelong,1.34,-27.5,Round 8,2017-05-13
MCG,Richmond,1.40,-16.5,Round 8,2017-05-14
MCG,Fremantle,3.05,+16.5,Round 8,2017-05-14
Adelaide Arena at Jiangwan Stadium,Gold Coast,3.80,+27.5,Round 8,2017-05-14
Adelaide Arena at Jiangwan Stadium,Port Adelaide,1.28,-27.5,Round 8,2017-05-14
Etihad Stadium,North Melbourne,1.73,-6.5,Round 8,2017-05-14
Etihad Stadium,Sydney,2.15,+6.5,Round 8,2017-05-14
GMHBA Stadium,Geelong,2.00,+2.5,Round 9,2017-05-19
GMHBA Stadium,Western Bulldogs,1.83,-2.5,Round 9,2017-05-19
Etihad Stadium,St Kilda,1.94,+1.5,Round 9,2017-05-20
Etihad Stadium,Sydney,1.90,-1.5,Round 9,2017-05-20
Spotless Stadium,GWS,1.25,-32.5,Round 9,2017-05-20
Spotless Stadium,Richmond,4.10,+32.5,Round 9,2017-05-20
