home_team,away_team,venue,season_round,inplace,home_score,away_score,full_date
Carlton,Richmond,MCG,Round 1,True,89.0,132.0,2017-03-23
Collingwood,Western Bulldogs,MCG,Round 1,True,86.0,100.0,2017-03-24
Sydney,Port Adelaide,SCG,Round 1,True,82.0,110.0,2017-03-25
St Kilda,Melbourne,Etihad Stadium,Round 1,True,90.0,120.0,2017-03-25
Gold Coast,Brisbane,Metricon Stadium,Round 1,True,96.0,98.0,2017-03-25
Essendon,Hawthorn,MCG,Round 1,True,116.0,91.0,2017-03-25
North Melbourne,West Coast,Etihad Stadium,Round 1,True,93.0,136.0,2017-03-26
Adelaide,GWS,Adelaide Oval,Round 1,True,147.0,91.0,2017-03-26
Fremantle,Geelong,Domain Stadium,Round 1,True,73.0,115.0,2017-03-26
Richmond,Collingwood,MCG,Round 2,True,99.0,80.0,2017-03-30
Western Bulldogs,Sydney,Etihad Stadium,Round 2,True,110.0,87.0,2017-03-31
Hawthorn,Adelaide,MCG,Round 2,True,89.0,113.0,2017-04-01
GWS,Gold Coast,Spotless Stadium,Round 2,True,160.0,58.0,2017-04-01
West Coast,St Kilda,Domain Stadium,Round 2,True,116.0,97.0,2017-04-01
Brisbane,Essendon,Gabba,Round 2,True,84.0,111.0,2017-04-01
Geelong,North Melbourne,Etihad Stadium,Round 2,True,112.0,111.0,2017-04-02
Melbourne,Carlton,MCG,Round 2,True,86.0,64.0,2017-04-02
Port Adelaide,Fremantle,Adelaide Oval,Round 2,True,145.0,56.0,2017-04-02
Sydney,Collingwood,SCG,Round 3,True,79.0,80.0,2017-04-07
North Melbourne,GWS,Blundstone Arena,Round 3,True,67.0,109.0,2017-04-08
Richmond,West Coast,MCG,Round 3,True,76.0,65.0,2017-04-08
Geelong,Melbourne,Etihad Stadium,Round 3,True,126.0,97.0,2017-04-08
Fremantle,Western Bulldogs,Domain Stadium,Round 3,True,89.0,73.0,2017-04-08
Port Adelaide,Adelaide,Adelaide Oval,Round 3,True,83.0,100.0,2017-04-08
St Kilda,Brisbane,Etihad Stadium,Round 3,True,107.0,76.0,2017-04-09
Carlton,Essendon,MCG,Round 3,True,57.0,42.0,2017-04-09
Gold Coast,Hawthorn,Metricon Stadium,Round 3,True,139.0,53.0,2017-04-09
West Coast,Sydney,Domain Stadium,Round 4,True,91.0,65.0,2017-04-13
North Melbourne,Western Bulldogs,Etihad Stadium,Round 4,True,86.0,89.0,2017-04-14
